"Tree ID","X","Y","Elevation","Total Height","Height To Crown Base","Max Crown Diameter","Min Crown Diameter","Crown Rotation",R,G,B,DBH,"Lean Angle From Vertical","Lean Azimuth","Status Code"
12_35_TSHE,401931.728000,5277798.786000,217.328374,14.306449,8.583869,2.289032,2.289032,0.000000,204,0,0,0.175000,0.000000,0.000000,1
12_49_TSHE,401922.953000,5277801.928000,211.531988,4.880099,2.928059,0.780816,0.780816,0.000000,204,0,0,0.062000,0.000000,0.000000,1
12_33_TSHE,401932.522000,5277799.496000,217.522405,24.861631,14.916979,2.549342,2.549342,0.000000,244,120,50,0.197000,3.127797,212.506826,0
12_34_TSHE,401932.271200,5277798.579000,217.635127,6.539705,3.923823,1.046353,1.046353,0.000000,204,0,0,0.081000,0.000000,0.000000,1
12_5_TSHE,401923.348700,5277805.296000,210.436209,4.622229,2.773338,0.739557,0.739557,0.000000,204,0,0,0.059000,0.000000,0.000000,1
12_36_TSHE,401933.330500,5277795.254000,218.980864,33.390491,20.034294,4.845202,4.845202,0.000000,244,120,50,0.446000,1.281223,188.705320,0
12_4_TSHE,401922.123100,5277806.186000,209.247608,7.241122,4.344673,1.158580,1.158580,0.000000,204,0,0,0.089000,0.000000,0.000000,1
12_7_TSHE,401922.378100,5277807.534000,209.006824,4.366583,2.619950,0.698653,0.698653,0.000000,204,0,0,0.056000,0.000000,0.000000,1
12_8_TSHE,401922.403200,5277807.913000,208.912043,13.619311,8.171586,2.179090,2.179090,0.000000,204,0,0,0.166000,0.000000,0.000000,1
12_13_TSHE,401926.495700,5277810.369000,211.158093,11.724401,7.034640,1.875904,1.875904,0.000000,204,0,0,0.142000,0.000000,0.000000,1
12_37_TSHE,401933.185800,5277795.025000,218.959180,7.065996,4.239598,1.130559,1.130559,0.000000,204,0,0,0.087000,0.000000,0.000000,1
12_16_TSHE,401930.744000,5277810.956000,213.661338,6.451920,3.871152,1.032307,1.032307,0.000000,204,0,0,0.080000,0.000000,0.000000,1
12_18_TSHE,401931.158500,5277811.147000,213.863994,8.285927,4.971556,1.325748,1.325748,0.000000,204,0,0,0.101000,0.000000,0.000000,1
12_41_TSHE,401931.029800,5277792.554000,218.349185,9.316137,5.589682,1.490582,1.490582,0.000000,204,0,0,0.113000,0.000000,0.000000,1
12_26_TSHE,401938.426000,5277806.954861,218.332173,33.003662,19.802197,3.036025,3.036025,0.000000,244,120,50,0.241000,1.935727,349.220653,0
12_17_TSHE,401931.225000,5277811.318500,213.874974,26.169407,15.701644,3.202614,3.202614,0.000000,244,120,50,0.257000,0.771647,149.287172,0
12_40_TSHE,401930.877000,5277791.973000,218.428664,30.591262,18.354756,3.820318,3.820318,0.000000,244,120,50,0.321000,1.600189,284.646269,0
12_25_TSHE,401936.483000,5277808.702000,216.981237,35.421257,21.252754,4.197004,4.197004,0.000000,244,120,50,0.364000,0.680782,219.552823,0
12_46_TSHE,401914.910100,5277793.110000,205.863993,11.562388,6.937433,1.849982,1.849982,0.000000,244,120,50,0.140000,0.010000,90.000000,2
