Plot_Number,Tag_Num,Tree.ID,X,Y,Elevation,Total.Height,Height.To.Crown.Base,Max.Crown.Diameter,Min.Crown.Diameter,Crown.Rotation,R,G,B,DBH,Lean.Angle.From.Vertical,Lean.Azimuth,Status.Code,BaseX,BaseY,BaseElevation,Height,topElevation,CrownDia,TopX,TopY,Species,DataFile,FileTitle,Total.return.count,Return.1.count,Return.2.count,Return.3.count,Return.4.count,Return.5.count,Return.6.count,Return.7.count,Return.8.count,Return.9.count,Other.return.count,Elev.minimum,Elev.maximum,Elev.mean,Elev.mode,Elev.stddev,Elev.variance,Elev.CV,Elev.IQ,Elev.skewness,Elev.kurtosis,Elev.AAD,Elev.MAD.median,Elev.MAD.mode,Elev.L1,Elev.L2,Elev.L3,Elev.L4,Elev.L.CV,Elev.L.skewness,Elev.L.kurtosis,Elev.P01,Elev.P05,Elev.P10,Elev.P20,Elev.P25,Elev.P30,Elev.P40,Elev.P50,Elev.P60,Elev.P70,Elev.P75,Elev.P80,Elev.P90,Elev.P95,Elev.P99,Canopy.relief.ratio,Elev.SQRT.mean.SQ,Elev.CURT.mean.CUBE,Int.minimum,Int.maximum,Int.mean,Int.mode,Int.stddev,Int.variance,Int.CV,Int.IQ,Int.skewness,Int.kurtosis,Int.AAD,Int.L1,Int.L2,Int.L3,Int.L4,Int.L.CV,Int.L.skewness,Int.L.kurtosis,Int.P01,Int.P05,Int.P10,Int.P20,Int.P25,Int.P30,Int.P40,Int.P50,Int.P60,Int.P70,Int.P75,Int.P80,Int.P90,Int.P95,Int.P99,Profile.area
12,27,12_27_THPL,401934.7878,5277804.38,217.286681,26.859028,16.115417,2.126791,2.126791,0,244,120,50,0.196,1.459675,7.193683,0,401934.7878,5277804.38,217.286681,26.859028,244.145709,3.1901865,401934.8735,5277805.059,THPL,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_27.las,Plot_12_TreeCone_27,827,705,112,10,0,0,0,0,0,0,0,0,6.702,4.203004,5.319048,1.810232,3.276941,0.4307,2.5585,-0.980332,2.58408,1.515272,0.616,0.526048,4.203004,0.958956,-0.286819,0.086008,0.22816,-0.299094,0.089689,0.15682,0.3818,1.0446,2.3992,2.871,3.9402,4.7394,5.002,5.2306,5.3676,5.4295,5.52,5.7838,6.1386,6.49984,0.627127,4.57583,4.787172,153,242,194.71705,184.079365,19.882518,395.314515,0.10211,32,0.302241,2.039544,17.336346,194.71705,11.303568,0.95364,0.266984,0.058051,0.084366,0.023619,159,166,172,178,178,178,185,191,198,210,210,217,223,223,236,63.652631
12,28,12_28_THPL,401938.8916,5277802.321,219.867289,29.119844,17.471907,2.664435,2.664435,0,244,120,50,0.26,0.841463,56.824156,0,401938.8916,5277802.321,219.867289,29.119844,248.987133,3.9966525,401939.2495,5277802.556,THPL,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_28.las,Plot_12_TreeCone_28,1354,1097,244,13,0,0,0,0,0,0,0,0,20.542,17.385477,18.585619,2.004085,4.016355,0.115273,2.859501,-1.312133,9.806198,1.571558,1.296,1.4515,17.385477,1.088204,-0.114994,0.109804,0.062593,-0.105673,0.100904,12.15209,14.6715,14.9416,15.7488,15.98325,16.474901,17.0068,17.626499,17.983801,18.76,18.842751,19.0634,19.898001,20.201349,20.421169,0.846338,17.50052,17.601973,147,242,191.251846,190.730159,16.436649,270.16343,0.085942,20,0.508497,3.373833,12.279406,191.251846,9.005241,0.91382,1.498195,0.047086,0.101477,0.166369,159,166,172,178,178,185,185,191,191,198,198,204,217,217,236,83.958953
12,3,12_3_PSME,401922.5525,5277804.849,210.029101,31.664302,18.998582,3.529803,3.529803,0,244,120,50,0.29,0.291457,164.885274,0,401922.5525,5277804.849,210.029101,31.664302,241.693403,5.2947045,401922.5945,5277804.693,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_3.las,Plot_12_TreeCone_3,1308,1143,163,2,0,0,0,0,0,0,0,0,30.003,27.262791,27.145572,2.146656,4.608134,0.078739,1.569,-4.455417,38.04435,1.264493,0.78,0.990428,27.262791,0.913944,-0.31653,0.272082,0.033523,-0.346334,0.297701,18.500629,24.028349,25.2239,26.641001,26.86075,27.205601,27.472,27.6325,27.9114,28.271799,28.42975,28.576399,28.8792,29.1726,29.599791,0.908669,27.34711,27.41112,153,249,190.782875,185,17.202879,295.939049,0.09017,20,0.707137,2.935702,13.386345,190.782875,9.393712,1.620589,1.344206,0.049238,0.172519,0.143096,159,166,172,178,178,185,185,185,191,197.300171,198,210,217,223,230,90.936013
12,33,12_33_TSHE,401932.522,5277799.496,217.522405,24.861631,14.916979,2.549342,2.549342,0,244,120,50,0.197,3.127797,212.506826,0,401932.522,5277799.496,217.522405,24.861631,242.384036,3.824013,401931.793,5277798.352,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_33.las,Plot_12_TreeCone_33,1065,765,286,14,0,0,0,0,0,0,0,0,10.319,7.78616,8.51727,1.901825,3.61694,0.244257,1.936,-1.227615,4.08603,1.419105,0.988999,0.91073,7.78616,1.004745,-0.247597,0.177536,0.129042,-0.246427,0.176698,2.93512,3.2638,4.3148,6.8938,7.108,7.3504,7.9542,8.192,8.501801,8.788799,9.044,9.309,9.8672,10.051,10.240479,0.754546,8.01485,8.183271,153,255,191.692019,190.238095,16.158664,261.102427,0.084295,26,0.469842,3.064293,12.81712,191.692019,9.035668,0.78814,0.943897,0.047136,0.087225,0.104463,159,166,172,178,178,185,185,191,191,198,204,204,217,217,236,74.978169
12,36,12_36_TSHE,401933.3305,5277795.254,218.980864,33.390491,20.034294,4.845202,4.845202,0,244,120,50,0.446,1.281223,188.70532,0,401933.3305,5277795.254,218.980864,33.390491,252.371355,7.267803,401933.2175,5277794.516,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_36.las,Plot_12_TreeCone_36,9084,7245,1775,64,0,0,0,0,0,0,0,0,21.15,14.704477,13.764285,3.368632,11.347685,0.229089,5.036249,-0.470513,2.648015,2.774054,2.4895,2.772,14.704477,1.908621,-0.188373,0.150061,0.129799,-0.098696,0.078623,6.1946,8.639,10.0016,11.884,12.39275,13.114799,14.016,15.044001,15.8828,16.9342,17.428999,17.8708,18.8741,19.2827,20.61068,0.695247,15.08536,15.413629,147,255,193.208058,189.857143,14.607729,213.38575,0.075606,19,0.207925,3.009005,11.673355,193.208058,8.156206,0.310021,1.068494,0.042215,0.03801,0.131004,159,172,178,178,185,185,191,191,198,198,204,204,210,217,230,70.208148
12,38,12_38_THPL,401935.0895,5277788.124,222.986582,28.776669,17.266001,2.961481,2.961481,0,244,120,50,0.299,1.453006,175.559139,0,401935.0895,5277788.124,222.986582,28.776669,251.763251,4.4422215,401935.146,5277787.396,THPL,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_38.las,Plot_12_TreeCone_38,1952,1513,426,13,0,0,0,0,0,0,0,0,27.483999,25.177739,26.175237,2.21437,4.903437,0.08795,2.23925,-2.985233,19.315159,1.534555,0.888499,0.720763,25.177739,1.033551,-0.383872,0.214351,0.04105,-0.37141,0.207393,16.69968,20.7246,22.8174,23.887199,24.327,24.8533,25.5588,25.888,26.2472,26.495001,26.56625,26.677799,26.925901,27.08145,27.338961,0.916087,25.274878,25.35411,147,242,194.092213,190.730159,11.634168,135.353871,0.059941,19,-0.050507,3.787131,9.269322,194.092213,6.378602,-0.091885,0.912349,0.032864,-0.014405,0.143033,166,178,178,185,185,191,191,191,198,198,204,204,210,210,223,90.912277
12,40,12_40_TSHE,401930.877,5277791.973,218.428664,30.591262,18.354756,3.820318,3.820318,0,244,120,50,0.321,1.600189,284.646269,0,401930.877,5277791.973,218.428664,30.591262,249.019926,5.730477,401930.0505,5277792.189,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_40.las,Plot_12_TreeCone_40,4613,3696,870,47,0,0,0,0,0,0,0,0,25.966,22.075542,23.080889,2.308701,5.330101,0.104582,3.013,-1.16821,6.630584,1.833948,1.452999,1.439112,22.075542,1.259089,-0.219449,0.133058,0.057035,-0.174292,0.105678,15.34696,18.040001,18.9004,20.177601,20.777,21.170599,21.754799,22.441,23.158201,23.563799,23.790001,24.070599,24.611,24.875999,25.607399,0.850171,22.195911,22.304712,153,249,192.537611,189.571429,14.412134,207.709611,0.074854,19,0.150438,2.76384,11.51726,192.537611,8.091835,0.277502,0.95627,0.042027,0.034294,0.118177,159,172,172,178,185,185,191,191,198,198,204,204,210,217,223,84.963279
12,44,12_44_ABAM,401924.3415,5277792.294,213.937973,39.059406,23.435644,3.495889,3.495889,0,244,120,50,0.316,3.536349,191.794352,0,401924.3415,5277792.294,213.937973,39.059406,252.997379,5.2438335,401923.849,5277789.936,ABAM,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_44.las,Plot_12_TreeCone_44,5786,4675,1068,43,0,0,0,0,0,0,0,0,37.506001,31.825265,33.934,3.620818,13.110326,0.113772,4.664751,-1.341954,7.021664,2.80993,2.240999,2.003,31.825265,1.945995,-0.395109,0.250429,0.061146,-0.203037,0.128689,21.347351,24.717501,26.809502,29.193001,29.751249,30.498501,31.618999,32.5285,33.368999,34.127998,34.416,34.842999,35.648998,36.450249,37.052349,0.848538,32.030541,32.211463,140,242,184.869513,177.238095,16.015736,256.5038,0.086633,26,0.372592,2.648978,12.944795,184.869513,8.999356,0.817675,0.851061,0.04868,0.090859,0.094569,153,159,166,172,172,172,178,185,185,191,198,198,210,217,223,84.690288
12,55,12_55_TSHE,401925.8505,5277800.207,214.029234,31.627876,18.976726,3.990231,3.990231,0,244,120,50,0.34,1.938651,5.228366,0,401925.8505,5277800.207,214.029234,31.627876,245.65711,5.9853465,401925.948,5277801.273,TSHE,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_55.las,Plot_12_TreeCone_55,3891,3304,574,13,0,0,0,0,0,0,0,0,14.782,10.538238,11.966381,2.215394,4.907969,0.210224,2.807,-0.768664,3.56494,1.734554,1.316999,1.454381,10.538238,1.225616,-0.168707,0.168856,0.116302,-0.137651,0.137772,4.4964,6.026,7.618,8.818,9.28,9.705,10.397,10.893,11.283,11.863,12.087,12.37,13.256,13.678,14.2661,0.71291,10.768526,10.961535,153,255,192.070933,183.761905,16.155546,261.001651,0.084112,20,0.709852,3.152335,12.538978,192.070933,8.848963,1.397008,1.272989,0.046071,0.157873,0.143857,166,172,172,178,178,185,185,191,191,198,198,210,217,223,230,72.773228
12,56,12_56_PSME,401927.653,5277802.18,214.310475,32.48753,19.492519,3.893006,3.893006,0,244,120,50,0.335,1.348888,329.730081,0,401927.653,5277802.18,214.310475,32.48753,246.798005,5.839509,401927.2675,5277802.84,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_56.las,Plot_12_TreeCone_56,3154,2783,363,8,0,0,0,0,0,0,0,0,30.976,27.232906,27.04254,2.023001,4.092533,0.074285,2.190001,-3.73842,44.494011,1.364939,1.09,1.044,27.232906,0.992734,-0.144633,0.19091,0.036453,-0.145692,0.192307,22.48506,23.697948,25.215599,26.0756,26.2955,26.634001,27.075201,27.4175,27.754599,28.201801,28.4855,28.7358,29.371799,29.719349,30.457409,0.879161,27.307918,27.368544,147,249,189.626189,184.238095,15.923763,253.566215,0.083974,20,0.411797,2.714673,12.846447,189.626189,8.916688,0.868481,0.923412,0.047022,0.097399,0.10356,159,166,172,178,178,178,185,185,191,198,198,204,210,217,230,88.189874
12,59,12_59_PSME,401927.359,5277795.697,215.252283,29.583608,17.750164,4.090639,4.090639,0,244,120,50,0.361,1.554961,80.173937,0,401927.359,5277795.697,215.252283,29.583608,244.835891,6.1359585,401928.15,5277795.834,PSME,F:\workspace\OESF\AllyCedarFUSIONWork\Cedar_Plots\OESF_Cedar_Plots_11_12_13_pt5\Processing\AdjustedTrees\ConeClip_final\Trees_SmallCylinder_normalized\Plot_12_TreeCone_59.las,Plot_12_TreeCone_59,2924,2414,499,11,0,0,0,0,0,0,0,0,29.447001,25.889729,25.707699,3.401934,11.573156,0.131401,1.853748,-5.279843,38.523753,1.68965,0.980499,1.337301,25.889729,1.268828,-0.43731,0.439697,0.049009,-0.344656,0.346538,1.14926,21.969749,23.669001,25.3678,25.550501,25.6738,25.834,26.254,26.886,27.271999,27.404249,27.614,28.261999,28.704849,29.201769,0.879197,26.112205,26.228784,140,242,187.19528,183.714286,15.711645,246.855797,0.083932,20,0.334842,2.537656,12.923259,187.19528,8.854942,0.750702,0.750251,0.047303,0.084778,0.084727,159,166,166,172,178,178,178,185,191,198,198,204,210,217,223,87.541915
